id,old_split,split,group_id,category,label_text,label_img,label_combo,source,source_family,source_item_id,template_parent_id,text_hash,image_path_key,image_sha256,image_dhash,image_url_hash,image_prompt_hash,image_description_hash,is_msts,image_found
A_ext_0010,test,test,G0011,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0010,A_ext_0010,d7aae2a722a49dd9b5122659c5990a16fc4e5cdfa4869d1122c5ee94830923f7,dataset/images/A_ext_0010.jpg,4e3e45b3120b9ab03d701b6b8cb148f8b444303fb2d119d1a01cdc6a250914d9,d8f127981349272c,c540ba188e1d52c4b14ed5e38e18445e55f1502dc1bbcd31d92cb55d7195073d,,,False,True
A_ext_0011,test,test,G0012,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0011,A_ext_0011,fcfb94d18ae0f41486322bbd43ea9df21d1e185bff7dcfae88ad7017be1ab95e,dataset/images/A_ext_0011.jpg,054101c6f00e13ef6ec2ab8f9a724302fc288d35db759629c1ce44cd4919eb41,74309474d0e06462,257042c6082dc811ce920f81c9bd259c0dab2b9902d009be6af8308905da22f2,,,False,True
A_ext_0012,train,train,G0013,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0012,A_ext_0012,b59e81c3188d592e7e70b7394020bc3ec2a341ac32bf45dc308db9898ef570ad,dataset/images/A_ext_0012.jpg,cd5b8cc38e76ab776b139ce89aa3a4d9d32cba90c7403b43736c5ef0f30055fa,0b1938fceb6ad2e1,892fe6e29b67270f31ffa7ce47a3b60a1a81e5aac85492bfe05bfcb462070f8c,,,False,True
A_ext_0013,train,train,G0014,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0013,A_ext_0013,bdbb4047af90f7e8f2ddf8d583375fd3b5e15fb9372a1de0c9b563b55bee157a,dataset/images/A_ext_0013.jpg,59ff80bad02fd9edf060bc048fd60b2baa6b3ac4bd3fa1a119a660e75953bf9b,a791a40c263371f1,c2a176d68c0264d0e7f4a9eb86471c429d9e7c8e2882c9bec688b1bd051f0752,,,False,True
A_ext_0014,train,train,G0015,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0014,A_ext_0014,17f2d8acdb79a36d0d3b859262092120651ea4948d06ced2aec0025fa6b55b1f,dataset/images/A_ext_0014.jpg,b6e395f839958d69433be2b54f303bbe75e2f2063e8b6853eef66b2e5497d496,36e7a7a38793d54c,02d489f52a11a1cbfc0333c4713b29ace857edc92155358e8ba89eb6ca633bbc,,,False,True
A_ext_0015,train,train,G0016,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0015,A_ext_0015,5eab925516f62e00f8a5562173f01113dc047cbb5b3f88f948614adae1957cc6,dataset/images/A_ext_0015.jpg,40a3c8e4565695e2ba06115bf3a8cf731b957b95f97380831fbf7bd93ad23222,c4d8a6a68b8eaaa2,3dc07508171ad84c400addc0dca306add9a84eacbaa02f6a6b2f1890929b7a65,,,False,True
A_ext_0016,test,test,G0017,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0016,A_ext_0016,c83a8a4e85bdf345569f754a3bf4dd8b1646976ae6ac606f5997a589183359ec,dataset/images/A_ext_0016.jpg,21f39e6939e80aae699f428a9577f5a0b7a6d6850f36b8345da33c2cd809f40b,f0f2dae63f4472f2,6f00ee9c9820d6e45e8ec60dae38867c1854f8e1a6dc5c8fb6497b43bd8858c5,,,False,True
A_ext_0017,val,val,G0018,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0017,A_ext_0017,0ea94812adc972538585f935ef9f5ed1b36e5127a13bd7c05e0feb68f38faa98,dataset/images/A_ext_0017.jpg,07b8a7be5edcba44e7463e462bacbd09522fc447eae5b08cbd03758e40d30076,88849bbcfce4e0e8,8315e1edecd406d823002de1ad00e42974091cf48c5bd1b475b83012f1e9d4be,,,False,True
A_ext_0018,val,val,G0019,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0018,A_ext_0018,355c566d802852f36a1d255d29cb75392c20ffa8835944e1a218cfba6f143c8b,dataset/images/A_ext_0018.jpg,073ba3dbe14fc97b6432a2ecbf10c907938c30b950adbbba362a50d7ee92856d,85ade1e1521919a4,349bae8f8a314d8f6a5af68ac5d4e0ab0688e5d326fa94d9d8afe8c5f55933a7,,,False,True
A_ext_0019,test,test,G0020,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0019,A_ext_0019,e92d6665b39bb87b7486f262de596c7d5c858c721392db4be99f7f9d76c36f24,dataset/images/A_ext_0019.jpg,b8ac4577d58e4dc59f601ea11c1250d2e1033bbdfd6684b73a3bcea86233276f,39f1e6e7e961b0e0,4ab89465efe5f48204de1a04c2f5f64c6f23c7c5b51bd3ebfdf9ed499110e042,,,False,True
A_ext_0020,test,test,G0021,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0020,A_ext_0020,083eec515fcd328d0ce09bc58b467d637259d0e9b705d8981e42c612859e8069,dataset/images/A_ext_0020.jpg,61ab23f46805f9e504c24171c498c8d9ef531105022dbf27e8a641723ca13c95,000f5f27231f031f,b3b046765ca04c039d541911bfe84375165d5503a556619ab66462aea5b081d3,,,False,True
A_ext_0021,test,test,G0022,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0021,A_ext_0021,41a6addae74e0788782c2fcbac6c98f31580cd297e0c76caf2365d1c996520b3,dataset/images/A_ext_0021.jpg,5acd43c5106144cfe79b75d08202ac0f6cb9c56152c65c252e5d1b37858d675a,0002439c0a0d0106,d15084afa017874ebdf7b759468b091fd3299c1b3cadc6f3c360d1a0fa72d146,,,False,True
A_ext_0022,train,train,G0023,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0022,A_ext_0022,2a5fe7f5c53d0016c9dfa1d9e15c03d092f52dfb1b76d0c7e9535bc3b2325e60,dataset/images/A_ext_0022.jpg,04f48c4882af075effd8a015450b70a0cdcd727f5ce91204ac6e460910324370,787c5edcb2382000,a43fbf66c47e5e55f159d24dba41881460afd37b7ef8c1dab5d0c3689a387747,,,False,True
A_ext_0023,val,val,G0024,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0023,A_ext_0023,cfcf1c55bae51ebd3f8df695dba35bd296c8d3669f0e6599b94fd6ce4b9ff9fc,dataset/images/A_ext_0023.jpg,80f012c985b076ebe8fa15aa33cdf664904d454d7ee28a6888a7ef360a012146,c0cc0f1532392268,d17e71e8bcdd6216a1ac8c5ae84a871d1d15b18535f852d24609c23bdc7434df,,,False,True
A_ext_0024,val,val,G0025,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0024,A_ext_0024,8bf0a9ab0311a81151ade799bee37914b2cc0be38373a3fa9ab86d4d5dfe4e80,dataset/images/A_ext_0024.jpg,27cb340ec22c343fd3b547d3ca94715f164ac4da8bb30b284c1a962b98de2b8d,c6c42762e2e327ce,a7b528210e88a503e5beefa90ee1584488d43576a60fc8387fb2b9fee9b7e7be,,,False,True
A_ext_0025,train,train,G0026,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0025,A_ext_0025,6723e9c6d22fa1492fa1d533432997070ae46b2d65bccaf7ec5d12f4c2486f8c,dataset/images/A_ext_0025.jpg,c5b4cc5253d077221f409d34529f51143f3f8d7396dc4201af4914a9572d85df,f0b1efeecf8dd5ce,556b28bb73af2ac80620a0c8bb8bc21444dd737ee1b030b79a402a26734d7ebe,,,False,True
A_ext_0026,train,train,G0027,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0026,A_ext_0026,423cc6bee7a11af274a3d8a7c350ef7ef9f37c56ec694aeb707e517e8d5ed70c,dataset/images/A_ext_0026.jpg,2f2ba0338b0fb138dc70e5e5f1eaab6b4653a069098baa403bb75838ffeb645c,7810856da8f2f1b8,d7943b9025ceed9d4825b68e4f9ec6faa1ebe215597aefb7bde4f591d8d92942,,,False,True
A_ext_0027,train,train,G0028,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0027,A_ext_0027,28d41924f3f14ad34c8d114a738f7316b164fa833ad9c07fa9477dff95ae9388,dataset/images/A_ext_0027.jpg,bb6dd280c557500545521ac7df620496e2770bbf31947120410ddb215680cfda,3c0c060603c3c3bc,1ecabf1d3fd82953c6499787518e850e247d3cda4353d487f51e8dfa27d7bdb3,,,False,True
A_ext_0028,train,train,G0029,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0028,A_ext_0028,9376cfe2d9a499b8819b719cb46d7929ae25a84bec1fb9ba4f17d326d8e51aa2,dataset/images/A_ext_0028.jpg,ce3864d24768fc67db508d71258646d9a81f8d16008e7d87671ef6a941d0e663,0f07222a0924cc96,3f2d6bd76d7c2fbe46ef4601711f137d2ead3b37d4b3610b4190272c846a3227,,,False,True
A_ext_0029,test,test,G0030,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0029,A_ext_0029,2dec438826a993096678a1d22dd3bd6f5913fd82a8f18820619155d61118d298,dataset/images/A_ext_0029.jpg,0fc7405b72f6e0875d9daf122eed17ce074d0d444e22159112c7d184dc0e372d,8eb0f0d9f4f0e1d0,bb4dc625bb328fe55fdc00a6d80d1d8e33e9ef0e16fe0a38351f6746344bd560,,,False,True
A_ext_0030,train,train,G0031,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0030,A_ext_0030,e15dda35b5d7b5d3f245b55b241930cd878dfcd784a1963d841a891d78ba8fe1,dataset/images/A_ext_0030.jpg,365923599f662d82fc104845e746c3fc05b092cf4cc72f37c4ae9dd0483ee1f0,1b9ebf99b8a23131,71a44b3ea59d04d783ecccc0e50d798d8301f37e6f95d2d3a105c23b25d58b46,,,False,True
A_ext_0031,train,train,G0032,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0031,A_ext_0031,ae8cdb04ade83cbd8e5a8956f8f3e0940501c8ee0ce8567ebf24753c43709279,dataset/images/A_ext_0031.jpg,ade0574d60d0f7f97ab4bb2c88b21bfc0f032ef832174cbe489c718ee0ef6bb7,441c44f1d019fb94,a3e4ae73c6ee5c046786482bcabb6a7b12d41b82b1759c80bc8204bdb5e704a8,,,False,True
A_ext_0032,train,train,G0033,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0032,A_ext_0032,50b307515d8f778d58c99b1f2ac9f36a0b23c42edfe0f2cc53d2d2ed251594c2,dataset/images/A_ext_0032.jpg,dbd1069379a5d182fd276bcd30499089f1cc4107f69c77dd5eaa25fd2607e802,fff9b20c18fa7f64,d10006e12e4b46c7ceee80f9a76f0f0a4f413bbe1233a581e4e2e8b3e89ea7e7,,,False,True
A_ext_0033,train,train,G0034,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0033,A_ext_0033,bec65a8ab5883b2440026e9b6fe53baf2edc662472a66ba85c54229c60080b04,dataset/images/A_ext_0033.jpg,ce79c90382b022d46a51062dce01ade2f247ed36461710d7a29f7f0e47fea28d,8583088c8c18d947,f1fc816bcc1c0299186b7a3fea100425d03b75c20eb51365e74f51954927b5c2,,,False,True
A_ext_0034,train,train,G0035,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0034,A_ext_0034,22c4565c06c23a9646a8242151347c4486ef03425aa3b876c808679be78b18c2,dataset/images/A_ext_0034.jpg,1f35e1cfa5fad5efef62d734fed18fd1a39d0a42b332bcdcdea2bac3c17d647a,e0e38047c79cc4e3,0442f8c11fc75f7288dba8e4d6fefb605d3488ef6af980c416c2788974365bc8,,,False,True
A_ext_0035,val,val,G0036,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0035,A_ext_0035,73b4c010f374c479888caa016632686da3061f55c1840a96817a5016c02eb44f,dataset/images/A_ext_0035.jpg,746fc5c598c4bd4a9ad33813dee76c2a2685ca745bab5ccd688af87448b2729d,f8e8f2acbd1d9b19,4cb8bf69a7510632a0b1bc78929a76147e51d472aaf6ead2b83db52ba01e7c17,,,False,True
A_ext_0036,train,train,G0037,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0036,A_ext_0036,f44fc8b6cf18452bad4a551009b682dc8af24f6635d8d98d62c97657827dd969,dataset/images/A_ext_0036.jpg,d3346a83eecea6813ef92a87cf32d92210b5dadf5805083abe538856b2171f29,e6f1e8f2dc8db737,6213667de69e974b607624c06d87eb2cb7a30f4e171885e230c18a3a53dff528,,,False,True
A_ext_0037,val,val,G0038,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0037,A_ext_0037,cd0a639c2876f5d5b0dd31731c3fe7c1cd4ccbb4d40eb3aefe5096b219f3b493,dataset/images/A_ext_0037.jpg,d8ac8f32c2f7d157155ff9635122d52a72c0b759147abb050627a8c5780df9af,460c9830309889b7,3d209bbfc53699db2a1e2aab72c262545663701cbbdefedacde439942fffa769,,,False,True
A_ext_0038,train,train,G0039,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0038,A_ext_0038,e3dccf299b813f06615f5dc71556cc9606dba24ab7b7e7f7fa944bcac43be944,dataset/images/A_ext_0038.jpg,854de38fad378234457997dd91a4305390bef55dcecd9780ae75090859f34d1e,b1b5331ebcf374d4,c65c65bc494b13092e20a8a5492b723be9d59a7a7884f936012d4759acc51def,,,False,True
A_ext_0039,train,train,G0040,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0039,A_ext_0039,f6d4c6225bfead6d9972836267065b8357a92c6bcabd49d6e5d819416e7c0283,dataset/images/A_ext_0039.jpg,a157a818a90290e19fe2382ac67981355f4c62f1808de9b59ec3d16d1e57eed3,e8f8e4f0d8de7233,8b41870a931dc9b996d0edc94900e06ec40c4213148ceeaf89eb3654d261da93,,,False,True
A_ext_0040,train,train,G0041,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0040,A_ext_0040,984a5deac0d1a073cea5630abf124a3ea8bfe3bdf3b52c6461925f1994cdc960,dataset/images/A_ext_0040.jpg,e3e7ccfab9ee3ace4fa00099df745c1f901d283151f856041002880dda8f543b,bd99983078cc8003,762e7c67f387fd023e83198517aa93cf00f6871e52bd5ed65844d7e0cc17865e,,,False,True
A_ext_0041,train,train,G0042,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0041,A_ext_0041,c7f22ee57ca60aff447fc2690e434f65672eb9465fad1344089c15083511bd0b,dataset/images/A_ext_0041.jpg,cc2e41cb3051bde811834b36d50067c97bbb0f1fdbd0e4e05113328d65d10134,f6cfce8f9f36327c,08f7ea3faa6f2682d7cb5cc637fed70cf7e5a2342d232b9063ac0fcd4588ccd6,,,False,True
A_ext_0042,train,train,G0043,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0042,A_ext_0042,463c944b40788da3ba7a75d5df8d80daf4a8cd53ad948290c0cd1d841ec3cfef,dataset/images/A_ext_0042.jpg,dd5896edf27e5fbeb927cbbcca1eb650d077af24eeae29448486e8d8eaec25f4,8f9495c00c1bd267,cd8891b350b58b1bfc6862b452ce33e51193591cb300624ad19cf4be9ffb75e2,,,False,True
A_ext_0043,train,train,G0044,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0043,A_ext_0043,c19fa186395ac3c41fe0ed21ac0e5af93700bb0ca692ca4cf8547abd27e6e259,dataset/images/A_ext_0043.jpg,9ddba88ee86adbab8be24988845ec277d0aadf4a97767fa65544de2eb6e93722,22390f2535335f7f,2b5c1206aa9441a4c859850028aa1b4739a83ed81248b98234a4ec546ecd0f8f,,,False,True
A_ext_0044,train,train,G0045,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0044,A_ext_0044,a4bec6704edcd50656b5483e7b92e1045a8747ee149bc15d3c1bd7cff8614d0b,dataset/images/A_ext_0044.jpg,4282ebd235d5c4fa1256b6355f3889e5a6d5c6969f561c725d8b8f077825b3d6,33070b23585edf29,2a2e5d73eb3e2c17f091ff25e3f230a94ad5a440037f15bdffcaa387fdb44f1c,,,False,True
A_ext_0045,train,train,G0046,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0045,A_ext_0045,6946eb22ec9e4d76265f580afa76887e4867198233b0155d2eff505f07267187,dataset/images/A_ext_0045.jpg,1067c16612c2937377c5c957daf449ee228cfd00ae07695a6c4015398a50bb30,982e268e5c593bb5,3784c449c3287758525b357e511cda7e59af1400668a15d97d96f082f1489748,,,False,True
A_ext_0046,train,train,G0047,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0046,A_ext_0046,8d307426575d3cbae39ec39d2b09754e1003c101a5f07effbd9901cb64d6415c,dataset/images/A_ext_0046.jpg,589ba3c77429b3625d6d38c4853ca3d751363de1ddb963ec6f7ad53b72cd2be5,78191e3333c79332,7bb1629bcb70bfdaef8a8446d4564cc05ab25690c5aaaea8f7c2ab38563ad6bd,,,False,True
A_ext_0047,train,train,G0048,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0047,A_ext_0047,a6d3df8762d6ca0d989f70ffcc950dfc8ecc5a1d0fcddcbac0890679da54992a,dataset/images/A_ext_0047.jpg,47d80c57d72b2ea4b864e27e7af9bf27ac384afd36099e98d1ebc1c5c215e6e5,90cccec6c6a0b0b0,4fbf19c3a1aa509ccc0ef953c3162edb55abb64907602121af63a37931d729ab,,,False,True
A_ext_0048,train,train,G0049,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0048,A_ext_0048,68c4d6587039cd2ceac4e37361b98802a438164a104af15e4ebfb68ea6d29cd7,dataset/images/A_ext_0048.jpg,170e0cabbef54bcc0c520dfd86e22aca76166bfce107b92e299f6020a5f49278,333a36746460e6c7,a2a995c07e8fcf7bb0818593b94e85043081a8aa4392d2250ae0b9e781638eb0,,,False,True
A_ext_0049,train,train,G0050,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0049,A_ext_0049,7f5d6a51d2eb020ef50184b3dfc871285e824a22540c0084311004085c915254,dataset/images/A_ext_0049.jpg,be81ade7e8bb0e29287a0d5ada5c0378da46604e1816b1b773d7edb09a42ec51,a08674e492d3c0d4,451f0795e851df18aca20ece85fa81d8ac7a6e90926735c6d3533d177ad52325,,,False,True
A_ext_0050,train,train,G0051,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0050,A_ext_0050,616256a6ea417cc74a0151fc49389248ca8bbac24c8b225f728b2f7bd011d9b9,dataset/images/A_ext_0050.jpg,929d8257e042c6daa918103edecfbbaaa85cc3ad46788b8e6600d6c5ee4c3f45,3234c54160222134,421690871c635e5e38d83e82b6591e1397f050351eb77d91a7d0c51df46aa109,,,False,True
A_ext_0051,train,train,G0052,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0051,A_ext_0051,0de2190795349966dfe66a60f30332e494fc176766f54ef8b02381584de93c36,dataset/images/A_ext_0051.jpg,5853bb550a074a0be1d3635145da2918ffe33ec225ad6a92a71582b59ec8fbda,28327061d21f64d8,f894e07712c2604062f5fc6f19634b3ab0239c508e0ffa1494f6915810b5fd69,,,False,True
A_ext_0052,test,test,G0053,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0052,A_ext_0052,045e3c0b8178bb433aeaeb8580d6879aa3cd0e3a5d5aca651f454dc266363872,dataset/images/A_ext_0052.jpg,78a375372da7bc344549c1cd11d36b4c0aa8ee813cc63fc68c4722c045eb70cb,e5c180c047c6c78e,f9018ffe5bd25db353fa91edd213c1fc4a7afcdc630a35748f4347fbc5cab753,,,False,True
A_ext_0053,test,test,G0054,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0053,A_ext_0053,3c8de329a03d75909580f42173240b31b13058b9948be421ecb5de05e398e7ac,dataset/images/A_ext_0053.jpg,01f8debe822c4bd7298bec07402c6f4ce605c63cd92938d5d76f57e62e71bbe7,39d9d0b8b13769f9,d3cf858de0b9353604c81152f384df3d7d494b88eab0201975754117ed13f8bc,,,False,True
A_ext_0054,train,train,G0055,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0054,A_ext_0054,77cb754436d5353b6d4e2c91669a903ba713fec8b58dca10b4317a8a9b4372f5,dataset/images/A_ext_0054.jpg,8339015f6a0c15d46d9fb78f200d3dd3c278ea2f18d5979e13bc89f1678edac1,e1f59dd2eb67e4c0,26943972dd790dff99cca05434281f480e24fae46ad259295936a4e7976631c8,,,False,True
A_ext_0055,test,test,G0056,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0055,A_ext_0055,ab4f48b214fa72350903780cd94d010b5772e8926926497dcb16ef980c016e6b,dataset/images/A_ext_0055.jpg,1751a34c622e32ed3d8109b20de750b4564f2e44c3f897d84a1571b1611db7c6,4a4be971760c23d3,9ef7840b24d971cd2a5162f110515388ba9ee469e31fef080c4f85b1d64f4f9c,,,False,True
A_ext_0056,train,train,G0057,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0056,A_ext_0056,93da9140ad8c4657949c452c81c794a0850bb770fa3fa7efe606044be38fce0f,dataset/images/A_ext_0056.jpg,bf7c02ed066a485820534ba42faf575689ff7e589ea9b78babf71b4c53170f35,3637e57efe3e1c23,9de53fd21b6ac67015d5e03236f4fbbad981b76b3af2c9e355fac05674e45bf5,,,False,True
